Question,Answer
"What does ""LCD"" stand for?",Liquid Crystal Display
.at is the top-level domain for what country?,Austria
What does the 'S' in the RSA encryption algorithm stand for?,Shamir
"When did the online streaming service ""Mixer"" launch?",2016
What was the first commerically available computer processor?,Intel 4004
Which of these is the name for the failed key escrow device introduced by the National Security Agency in 1993?,Clipper Chip
Which one of these is not an official development name for a Ubuntu release?,Mystic Mansion
"True or False? Linus Sebastian is the creator of the Linux kernel, which went on to be used in Linux, Android, and Chrome OS.",False
Moore's law originally stated that the number of transistors on a microprocessor chip would double every...,Year
Which operating system was released first?,Mac OS
What five letter word is the motto of the IBM Computer company?,Think
"Generally, which component of a computer draws the most power?",Video Card
